"Date","Tweets published","impressions","engagements","engagement rate","retweets","replies","likes","user profile clicks","url clicks","hashtag clicks","detail expands","permalink clicks","app opens","app installs","follows","email tweet","dial phone","media views","media engagements","promoted impressions","promoted engagements","promoted engagement rate","promoted retweets","promoted replies","promoted likes","promoted user profile clicks","promoted url clicks","promoted hashtag clicks","promoted detail expands","promoted permalink clicks","promoted app opens","promoted app installs","promoted follows","promoted email tweet","promoted dial phone","promoted media views","promoted media engagements"
"2022-02-01","1","33","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-02-02","2","109","5","0.045871559633027525","0","0","1","3","0","0","1","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-02-03","2","118","1","0.00847457627118644","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-02-04","2","112","1","0.008928571428571428","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-02-05","0","45","2","0.044444444444444446","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-02-06","0","21","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-02-07","16","894","12","0.013422818791946308","1","7","3","0","0","0","1","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-02-08","8","801","15","0.018726591760299626","1","3","4","3","0","0","4","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-02-09","0","93","2","0.021505376344086023","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-02-10","5","321","5","0.01557632398753894","0","1","1","2","0","0","1","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-02-11","1","252","4","0.015873015873015872","0","0","3","0","0","0","1","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-02-12","0","93","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-02-13","3","238","3","0.012605042016806723","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-02-14","6","817","7","0.008567931456548347","0","1","0","2","0","0","1","0","0","0","0","0","0","68","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-02-15","2","281","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-02-16","7","501","15","0.029940119760479042","1","2","6","3","0","0","3","0","0","0","0","0","0","4","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-02-17","1","50","2","0.04","0","0","0","0","0","0","1","0","0","0","0","0","0","2","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-02-18","0","26","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-02-19","6","268","7","0.026119402985074626","0","1","3","1","0","0","1","0","0","0","0","0","0","4","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-02-20","2","643","25","0.038880248833592534","1","2","1","2","0","0","18","0","0","0","0","0","0","2","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-02-21","0","16","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-02-22","1","19","1","0.05263157894736842","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-02-23","5","1517","60","0.03955174686882004","2","1","52","3","0","0","2","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-02-24","2","414","14","0.033816425120772944","0","0","12","1","0","0","1","0","0","0","0","0","0","1","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-02-25","1","95","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-02-26","2","154","8","0.05194805194805195","0","1","3","1","0","0","3","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-02-27","11","663","18","0.027149321266968326","1","1","7","4","0","0","5","0","0","0","0","0","0","1","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-02-28","5","583","11","0.018867924528301886","0","1","3","7","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
